complaint_id,complaint_text,category,department,status,customer_id,date_received,date_resolved
1,The road near the facility is damaged and causing accidents.,,Maintenance,Open,CUST9935,2025-09-08 11:14:00,
2,Why is the late fee applied when I paid on time?,Billing Issue,Billing,In Progress,CUST4257,2025-01-03 20:13:00,
3,The new infrastructure upgrade has improved things significantly.,Infrastructure,Maintenance,In Progress,CUST3615,2025-06-15 15:37:00,
4,The equipment at the site is old and frequently malfunctions.,,Maintenance,In Progress,CUST2584,2025-05-07 14:48:00,
5,The response time for service requests is unacceptably slow.,Service Delay,Operations,Closed,CUST7201,2025-08-26 08:02:00,2025-08-31 21:25:38
6,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Closed,CUST2139,2025-10-20 15:56:00,2025-10-23 11:20:06
7,My bill amount doubled this month without any explanation.,,Billing,In Progress,CUST5554,2025-09-03 03:54:00,
8,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST2169,2025-03-12 21:13:00,2025-03-15 07:41:44
9,There is a major leakage that has not been fixed for weeks.,,Maintenance,Resolved,CUST4598,2025-07-08 09:10:00,2025-07-18 12:34:17
10,The road near the facility is damaged and causing accidents.,,Maintenance,In Progress,CUST4456,2025-04-02 09:51:00,
11,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Closed,CUST3340,2025-04-16 10:25:00,2025-04-16 11:25:00
12,No technician has visited despite multiple requests.,Service Delay,Operations,Closed,CUST7543,2025-09-18 10:16:00,2025-09-25 07:53:03
13,No technician has visited despite multiple requests.,,Operations,Open,CUST3621,2025-07-03 14:48:00,
14,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Resolved,CUST5119,2025-08-13 08:24:00,2025-08-15 17:42:40
15,I want to thank the team for resolving my issue so quickly.,Appreciation,Customer Support,Closed,CUST6573,2025-08-04 12:43:00,2025-08-04 23:09:30
16,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST9201,2025-03-01 16:46:00,2025-03-03 18:03:47
17,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,In Progress,CUST4258,2025-11-28 14:40:00,
18,My bill amount doubled this month without any explanation.,,Billing,Resolved,CUST6310,2025-07-25 06:59:00,2025-07-26 03:37:41
19,The staff at the counter was extremely rude to me today.,,Customer Support,In Progress,CUST2290,2025-12-27 14:51:00,
20,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST8787,2025-10-25 08:34:00,2025-10-26 21:02:03
21,"Excellent service today, very satisfied with the response.",,Customer Support,Resolved,CUST9835,2025-04-28 15:38:00,2025-04-29 12:49:59
22,No safety measures are in place despite previous warnings.,Safety Concern,Security,Resolved,CUST9479,2025-09-13 12:42:00,2025-09-17 06:12:50
23,I was treated very disrespectfully by the customer support agent.,,Customer Support,Resolved,CUST4608,2025-04-11 05:01:00,2025-04-12 22:33:16
24,I was overcharged on my last bill and no one is responding.,Billing Issue,Billing,In Progress,CUST5562,2025-04-02 18:55:00,
25,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Closed,CUST4981,2025-07-24 10:59:00,2025-07-28 13:46:25
26,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Resolved,CUST8651,2025-03-04 13:42:00,2025-03-09 23:00:42
27,I was asked to pay extra money to get my work done faster.,Corruption/Bribery,Administration,Open,CUST2790,2025-08-21 13:06:00,
28,No technician has visited despite multiple requests.,Service Delay,Operations,In Progress,CUST2235,2025-07-05 09:27:00,
29,The staff member was polite and handled my issue very well.,Staff Behavior,Customer Support,Closed,CUST4872,2025-02-21 21:34:00,2025-02-25 03:51:48
30,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST1035,2025-07-28 19:25:00,2025-07-31 12:20:47
31,"The new online system has made things much easier, well done.",Appreciation,Customer Support,In Progress,CUST8973,2025-12-26 07:29:00,
32,"There is a billing error, I already paid but it still shows unpaid.",,Billing,Closed,CUST6138,2025-04-02 09:37:00,2025-04-04 07:23:46
33,The online payment portal charged me twice for the same bill.,Billing Issue,Billing,In Progress,CUST2312,2025-07-28 11:33:00,
34,I was asked to pay extra money to get my work done faster.,,Administration,In Progress,CUST5033,2025-08-22 10:55:00,
35,The road near the facility is damaged and causing accidents.,Infrastructure,Maintenance,Resolved,CUST5272,2025-08-14 17:42:00,2025-08-22 01:36:42
36,"There is a billing error, I already paid but it still shows unpaid.",,Billing,Closed,CUST6180,2025-04-13 11:08:00,2025-04-15 17:43:50
37,I want to thank the team for resolving my issue so quickly.,,Customer Support,Closed,CUST4492,2025-01-20 08:36:00,2025-01-20 15:40:29
38,I was treated very disrespectfully by the customer support agent.,,Customer Support,In Progress,CUST8179,2025-12-03 16:56:00,
39,There is clear favoritism and under-the-table dealing happening.,Corruption/Bribery,Administration,Resolved,CUST5905,2025-05-26 07:41:00,2025-06-03 00:36:38
40,I want to thank the team for resolving my issue so quickly.,,Customer Support,Open,CUST3546,2025-12-05 15:16:00,
41,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Closed,CUST9280,2025-04-11 16:13:00,2025-04-18 10:49:42
42,The staff at the counter was extremely rude to me today.,,Customer Support,In Progress,CUST3143,2025-02-14 07:53:00,
43,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,Closed,CUST2832,2025-03-15 11:35:00,2025-03-18 18:55:51
44,My bill amount doubled this month without any explanation.,,Billing,Resolved,CUST3088,2025-07-27 07:23:00,2025-07-30 04:29:47
45,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Open,CUST5088,2025-11-26 10:55:00,
46,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,Closed,CUST4878,2025-09-28 10:26:00,2025-10-09 11:26:07
47,I was asked to pay extra money to get my work done faster.,,Administration,Closed,CUST7745,2025-11-01 18:11:00,2025-11-11 09:33:27
48,No safety measures are in place despite previous warnings.,Safety Concern,Security,Open,CUST8711,2025-04-26 12:44:00,
49,I have been waiting since last month for this issue to be fixed.,,Operations,Closed,CUST4164,2025-05-27 08:50:00,2025-06-03 07:32:08
50,The response time for service requests is unacceptably slow.,Service Delay,Operations,Resolved,CUST9785,2025-11-25 13:17:00,2025-12-02 03:28:18
51,It has been three weeks and my complaint is still not resolved.,Service Delay,Operations,Resolved,CUST1626,2025-02-09 16:11:00,2025-02-21 10:03:12
52,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST2894,2025-05-26 11:20:00,2025-05-27 17:39:42
53,Staff keep telling me to wait but nothing happens.,Service Delay,Operations,Resolved,CUST9821,2025-03-02 04:45:00,2025-03-04 08:38:59
54,There is a major leakage that has not been fixed for weeks.,Infrastructure,Maintenance,Closed,CUST3041,2025-06-03 13:42:00,2025-06-15 09:05:57
55,The equipment at the site is old and frequently malfunctions.,Infrastructure,Maintenance,In Progress,CUST3085,2025-07-22 18:26:00,
56,Why is the late fee applied when I paid on time?,Billing Issue,Billing,Resolved,CUST1006,2025-08-06 09:39:00,2025-08-09 14:01:32
57,No technician has visited despite multiple requests.,Service Delay,Operations,Closed,CUST8244,2025-06-19 09:38:00,2025-06-23 08:45:22
58,The new infrastructure upgrade has improved things significantly.,,Maintenance,In Progress,CUST9445,2025-07-26 07:47:00,
