complaint_id,stage_order,department,action,routed_correctly,comment,stage_timestamp,resolution_status
1,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-08 11:28:41.948699,
1,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-09-08 17:56:15.902263,
1,3,Maintenance,Reviewed,True,Waiting on additional information from the customer.,2025-09-10 14:16:17.039716,Unresolved
2,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-01-03 21:41:28.501816,
2,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-01-04 05:32:13.837518,
2,3,Billing,Reviewed,True,"Still under investigation, pending further review.",2025-01-06 11:04:43.669798,Unresolved
3,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-06-15 16:40:07.663971,
3,2,Security,Forwarded (Incorrect),False,"This complaint does not belong to our department, forwarding to the correct team.",2025-06-15 18:10:23.352532,
3,3,Maintenance,Forwarded (Re-routed),True,Re-routed from Security; now correctly assigned for Infrastructure.,2025-06-16 03:32:30.959099,
3,4,Maintenance,Reviewed,True,Escalated to senior staff for further action.,2025-06-18 05:31:52.043372,Unresolved
4,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-05-07 16:11:25.933173,
4,2,Maintenance,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Infrastructure.",2025-05-07 22:49:00.156883,
4,3,Maintenance,Reviewed,True,On hold due to resource availability.,2025-05-09 13:51:47.860182,Unresolved
5,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-08-26 08:15:31.004613,
5,2,Operations,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Service Delay.",2025-08-26 11:16:32.273716,
5,3,Operations,Reviewed,True,Issue verified and resolved after review.,2025-08-30 02:57:29.650097,Resolved
6,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-10-20 16:26:19.555818,
6,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-10-20 20:36:13.079656,
6,3,Billing,Reviewed,True,Issue verified and resolved after review.,2025-10-24 14:16:28.513377,Resolved
7,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-09-03 04:02:50.310716,
7,2,Billing,Forwarded (Correct),True,"Received from Public Relations, correctly routed for Billing Issue.",2025-09-03 09:15:04.143436,
7,3,Billing,Reviewed,True,On hold due to resource availability.,2025-09-07 04:39:47.033973,Unresolved
8,1,Public Relations,Received,,Complaint logged and reviewed for routing.,2025-03-12 21:45:15.271693,
