complaint_id,original_id,complaint_text,category,department,status,customer_id,date_received,date_resolved,created_at,complaint_text_clean,resolution_time_hours,vader_label,vader_score,transformer_label,transformer_score,sentiment_label,sentiment_score,sentiment_model_used,predicted_category,category_confidence,final_category,complaint_hour,complaint_day_of_week,complaint_month,complaint_year
1,1,The road near the facility is damaged and causing accidents.,,Maintenance,Open,CUST9935,2025-09-08 11:14:00,,2026-07-23 20:15:32,road near facility damaged causing accidents,,Negative,-0.6369,Negative,-0.9993550181388856,Negative,-0.9993550181388856,transformer,Infrastructure,0.900813556154854,Infrastructure,11,Monday,September,2025
2,2,Why is the late fee applied when I paid on time?,Billing Issue,Billing,In Progress,CUST4257,2025-01-03 20:13:00,,2026-07-23 20:15:32,late fee applied paid time,,Neutral,0.0,Negative,-0.9993433356285096,Negative,-0.9993433356285096,transformer,Billing Issue,1.0,Billing Issue,20,Friday,January,2025
3,3,The new infrastructure upgrade has improved things significantly.,Infrastructure,Maintenance,In Progress,CUST3615,2025-06-15 15:37:00,,2026-07-23 20:15:32,new infrastructure upgrade improved things significantly,,Positive,0.4767,Positive,0.9997418522834778,Positive,0.9997418522834778,transformer,Infrastructure,1.0,Infrastructure,15,Sunday,June,2025
4,4,The equipment at the site is old and frequently malfunctions.,,Maintenance,In Progress,CUST2584,2025-05-07 14:48:00,,2026-07-23 20:15:32,equipment site old frequently malfunctions,,Neutral,0.0,Negative,-0.9997950196266174,Negative,-0.9997950196266174,transformer,Infrastructure,0.9124860210011156,Infrastructure,14,Wednesday,May,2025
5,5,The response time for service requests is unacceptably slow.,Service Delay,Operations,Closed,CUST7201,2025-08-26 08:02:00,2025-08-31 21:25:38,2026-07-23 20:15:32,response time service requests unacceptably slow,133.39388888888888,Neutral,0.0,Negative,-0.9997486472129822,Negative,-0.9997486472129822,transformer,Service Delay,1.0,Service Delay,8,Tuesday,August,2025
6,6,"There is a billing error, I already paid but it still shows unpaid.",Billing Issue,Billing,Closed,CUST2139,2025-10-20 15:56:00,2025-10-23 11:20:06,2026-07-23 20:15:32,billing error already paid still shows unpaid,67.40166666666667,Negative,-0.2144,Negative,-0.9994487166404724,Negative,-0.9994487166404724,transformer,Billing Issue,1.0,Billing Issue,15,Monday,October,2025
7,7,My bill amount doubled this month without any explanation.,,Billing,In Progress,CUST5554,2025-09-03 03:54:00,,2026-07-23 20:15:32,bill amount doubled month without explanation,,Neutral,0.0,Negative,-0.9965940117836,Negative,-0.9965940117836,transformer,Billing Issue,0.9480403015534576,Billing Issue,3,Wednesday,September,2025
8,8,The employee refused to help and was arguing instead of assisting.,Staff Behavior,Customer Support,Closed,CUST2169,2025-03-12 21:13:00,2025-03-15 07:41:44,2026-07-23 20:15:32,employee refused help arguing instead assisting,58.47888888888889,Negative,-0.3612,Negative,-0.9993220567703248,Negative,-0.9993220567703248,transformer,Staff Behavior,1.0,Staff Behavior,21,Wednesday,March,2025
9,9,There is a major leakage that has not been fixed for weeks.,,Maintenance,Resolved,CUST4598,2025-07-08 09:10:00,2025-07-18 12:34:17,2026-07-23 20:15:32,major leakage fixed weeks,243.40472222222223,Neutral,0.0,Negative,-0.9974085688591005,Negative,-0.9974085688591005,transformer,Infrastructure,0.9079183993886076,Infrastructure,9,Tuesday,July,2025
10,10,The road near the facility is damaged and causing accidents.,,Maintenance,In Progress,CUST4456,2025-04-02 09:51:00,,2026-07-23 20:15:32,road near facility damaged causing accidents,,Negative,-0.6369,Negative,-0.9993550181388856,Negative,-0.9993550181388856,transformer,Infrastructure,0.900813556154854,Infrastructure,9,Wednesday,April,2025
11,11,"The new online system has made things much easier, well done.",Appreciation,Customer Support,Closed,CUST3340,2025-04-16 10:25:00,2025-04-16 11:25:00,2026-07-23 20:15:32,new online system made things much easier well done,1.0,Positive,0.5994,Positive,0.9995688796043396,Positive,0.9995688796043396,transformer,Appreciation,1.0,Appreciation,10,Wednesday,April,2025
12,12,No technician has visited despite multiple requests.,Service Delay,Operations,Closed,CUST7543,2025-09-18 10:16:00,2025-09-25 07:53:03,2026-07-23 20:15:32,technician visited despite multiple requests,165.6175,Negative,-0.296,Negative,-0.982450783252716,Negative,-0.982450783252716,transformer,Service Delay,1.0,Service Delay,10,Thursday,September,2025
13,13,No technician has visited despite multiple requests.,,Operations,Open,CUST3621,2025-07-03 14:48:00,,2026-07-23 20:15:32,technician visited despite multiple requests,,Negative,-0.296,Negative,-0.982450783252716,Negative,-0.982450783252716,transformer,Service Delay,0.9333926417018912,Service Delay,14,Thursday,July,2025
14,14,Security personnel are not checking IDs properly at the gate.,Safety Concern,Security,Resolved,CUST5119,2025-08-13 08:24:00,2025-08-15 17:42:40,2026-07-23 20:15:32,security personnel checking ids properly gate,57.31111111111111,Positive,0.34,Negative,-0.9997747540473938,Negative,-0.9997747540473938,transformer,Safety Concern,1.0,Safety Concern,8,Wednesday,August,2025
15,15,I want to thank the team for resolving my issue so quickly.,Appreciation,Customer Support,Closed,CUST6573,2025-08-04 12:43:00,2025-08-04 23:09:30,2026-07-23 20:15:32,want thank team resolving issue quickly,10.441666666666666,Positive,0.6597,Positive,0.9981899857521056,Positive,0.9981899857521056,transformer,Appreciation,1.0,Appreciation,12,Monday,August,2025
16,16,Why is the late fee applied when I paid on time?,,Billing,Closed,CUST9201,2025-03-01 16:46:00,2025-03-03 18:03:47,2026-07-23 20:15:32,late fee applied paid time,49.29638888888889,Neutral,0.0,Negative,-0.9993433356285096,Negative,-0.9993433356285096,transformer,Billing Issue,0.9481595449263228,Billing Issue,16,Saturday,March,2025
17,17,Thank you for quickly fixing the safety issue I reported earlier.,Safety Concern,Security,In Progress,CUST4258,2025-11-28 14:40:00,,2026-07-23 20:15:32,thank quickly fixing safety issue reported earlier,,Positive,0.6486,Positive,0.9871915578842164,Positive,0.9871915578842164,transformer,Safety Concern,1.0,Safety Concern,14,Friday,November,2025
